IDENT_DIV,IDENT_SUFX_CD,xlisting,DEPARTMENT,CRS_TITLE,credit,CRS_DESCRIPTION,FORMAT,FINALEXAMSTATUS,PREREQS,CR_RESTRICT,AC,AL,BS,HS,IS,PV,PS,SS,RCA,RCB,pubHealthMaj
ARCH,242,,Architecture,Sustainability Colloquium,3,"Presentations on a variety of topics related to sustainability, offering perspectives from leading practitioners: architectural designers, city planners, consultants, engineers, and researchers. Students can enroll for one unit (required attendance plus reading) or two units (with additional assignments. ", Fifteen hours lecture/seminar per unit per semester. ,N,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ARCH,142,,Architecture,Sustainability Colloquium,3,"Presentations on a variety of topics related to sustainability, offering perspectives from leading practioners: architectural designers, city planners, consultants, engineers, and researchers. Students can enroll for one unit (required attendance plus reading) or two units (with additional writing assignments. ",One and one-half hours of Seminar per week for 15 weeks.,Y,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IAS,171,,International and Area Studies,Internship in Agroecology and Sustainable Development,3,"Students work in selected internships in non-profit, government agencies, or farmer networks associated with the Brazilian Consortium on Agroecology and Sustainable Development. The purpose of the internship is to gain direct experience in agroecological techniques and methodologies to achieve sustainability in agriculture. Internships are approved in advance by the faculty coordinator with whom each student will be required to meet regularly and plan out complimentary readings and regular written reports. Work commitments will range between 180-360 hours depending upon the number of units undertaken and the length of the term enrolled. Final assessments will be based upon performance in the internship, quality of written reports, and a final assessment by the faculty advisor. Internship is repeatable for up to 16 units. Enrollment is restricted to 10 students per term selected through a special selection process. See instructor for details. ", Twenty-three to forty-five hours of internship per week for eight weeks. Thirty to sixty hours of internship per week for six weeks. Eighteen to thirty-six hours of internship per week for ten weeks. ,N,Junior or senior standing or consent of instructor. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IAS,271,,International and Area Studies,Internship in Agroecology and Sustainable Development,3,"Students work in selected internships in non-profit, government agencies, or farmer networks associated with the Brazilian Consortium on Agroecology and Sustainable Development. The purpose of the internship is to gain direct experience in agroecological techniques and methodologies to achieve sustainability in agriculture. Internships are approved in advance by the faculty coordinator with whom each student will be required to meet regularly and plan out complementary readings and regular written reports. Work commitments will range between 180-360 hours depending upon the number of units undertaken and the length of the term enrolled. Final assessments will be based upon performance in the internship, quality of written reports and a final assessment by the faculty advisor. Internship is repeatable for up to 16 units. Enrollment is restricted to 10 students per term selected through a special selection process. See instructor for details. ", Twenty-three to forty-five hours of internship per week for eight weeks. Thirty to sixty hours of internship per week for six weeks. Eighteen to thirty-six hours of internship per week for ten weeks. ,N,Graduate standing or consent of instructor. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CIV ENG,292A,,Civil and Environmental Engineering,Technologies for Sustainable Societies,1,"Exploration of selected important technologies that serve major societal needs, such as shelter, water, food, energy, and transportation, and waste management. How specific technologies or technological systems do or do not contribute to a move toward sustainability. Specific topics vary from year to year according to student and faculty interests.", One and one-half hours of seminar/discussion per week. ,N,Graduate standing or consent of instructor. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ESPM,285,,"Environ Sci, Policy, and Management",Special Topics Seminar: Forests and Water,1,"Forests are vital for rural and urban populations all over the world. They are an essential natural resource providing multiple benefits to society, and play a key role in the supply of fresh water and the regulation of climate. Changes in forested landscapes raise concerns about the volume of water flowing to streams, timing of those flows, and water quality. This seminar explores hydrology in forested watersheds and its relevance to contemporary issues. A first emphasis is hydrological processes, introducing factors that affect water budgets, flow paths, and runoff generation. A second emphasis is impacts of forest management activities on water yield, water quality, and sustainability of forest resources. ", One hour of lecture/readings/discussion per week. ,Y,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ENV DES,2,,Environmental Design,Introduction to Environmental Design Summer Lectures,1,"This course accompanies the summer studio and media classes in the architecture and landscape architecture post-baccalaureate programs, (IN)Arch and (IN)Land, of the College of Environmental Design. This series of eight lectures by faculty in the College of Environmental Design at Berkeley presents a range of approaches, theories, and practices in the design fields. Lectures will include topics in landscape architecture, architectural practice, building construction and systems, global cities, urban ecology, building sustainability, social and political aspects of architecture, and a panel discussion by professionals who are previous students of the College. ",Two hours of Lecture per week for 8 weeks.  Three hours of Lecture per week for 6 weeks.,N,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DEVP,227,,Development Practice,Principles of Natural Resource Management,2,"This course will introduce concepts in natural resource management. Segment 1 will cover basic modeling, techniques, and methodology in natural resource mamangement and sustainability. Segment 2 will address genetic resources and agriculture. Segment 3 will cover principles of natural resource management, namely water and air, in the development context. Segment 4 profides an overview of major concepts in the conservation of biodiversity. Students are expected to present research reports based on case studies. ",Two hours of Lecture per week for 15 weeks.,N,Graduate student standing or consent of instructor. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EPS,106,,Earth and Planetary Science,Environmental Geology and Earth Resources,2,"Formation, global distribution, and exploration for non renewable natural resources of metals, fuels, and industrial materials in the context of public land use issues, land ethics, resource literacy, sustainability, the mine life cycle, and California geology. Overview of environmental geology and geological hazards. Student research project presented in the format of a talk at a scientific meeting with follow-up written paper. ",Three hours of Lecture per week for 15 weeks.,Y,50 or equivalent. ,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MBA,268A,,Masters in Business Administration,Global Marketing Strategy,2,"This course will cover a wide variety of topics relating to the management of international marketing strategy, including frameworks for developing international marketing strategy; sources and sustainability of competitive advantage; international market structure analysis; market entry strategy; and integration of marketing strategy with other functional strategies. ",Two hours of Lecture per week for 15 weeks.,Y,Business Administration 206 or equivalent. ,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
